Reactions,Experiment,Objective Value,Growth
"['ncam_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['ncam_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['ncam_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['ncam_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['NADP_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['NADP_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['NADP_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['NADP_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['NADP_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['pnto_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['pnto_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['pnto_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['pnto_CDM_exch', 'vitB12_CDM_exch']",L2O,0.0,False
"['pnto_CDM_exch', 'FeNO3_CDM_exch']",L2O,0.0,False
"['pnto_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['pnto_CDM_exch', 'MnSO4_CDM_exch']",L2O,0.0,False
"['pnto_CDM_exch', 'CaCl2_CDM_exch']",L2O,0.0,False
"['pnto_CDM_exch', 'NaBic_CDM_exch']",L2O,0.0,False
"['pnto_CDM_exch', 'KPi_CDM_exch']",L2O,0.0,False
"['pnto_CDM_exch', 'NaPi_CDM_exch']",L2O,0.0,False
"['pydx_pydam_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['pydx_pydam_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['pydx_pydam_CDM_exch', 'vitB12_CDM_exch']",L2O,0.0,False
"['pydx_pydam_CDM_exch', 'FeNO3_CDM_exch']",L2O,0.0,False
"['pydx_pydam_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['pydx_pydam_CDM_exch', 'MnSO4_CDM_exch']",L2O,0.0,False
"['pydx_pydam_CDM_exch', 'CaCl2_CDM_exch']",L2O,0.0,False
"['pydx_pydam_CDM_exch', 'NaBic_CDM_exch']",L2O,0.0,False
"['pydx_pydam_CDM_exch', 'KPi_CDM_exch']",L2O,0.0,False
"['pydx_pydam_CDM_exch', 'NaPi_CDM_exch']",L2O,0.0,False
"['ribflv_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['ribflv_CDM_exch', 'vitB12_CDM_exch']",L2O,0.0,False
"['ribflv_CDM_exch', 'FeNO3_CDM_exch']",L2O,0.0,False
"['ribflv_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['ribflv_CDM_exch', 'MnSO4_CDM_exch']",L2O,0.0,False
"['ribflv_CDM_exch', 'CaCl2_CDM_exch']",L2O,0.0,False
"['ribflv_CDM_exch', 'NaBic_CDM_exch']",L2O,0.0,False
"['ribflv_CDM_exch', 'KPi_CDM_exch']",L2O,0.0,False
"['ribflv_CDM_exch', 'NaPi_CDM_exch']",L2O,0.0,False
"['thm_CDM_exch', 'vitB12_CDM_exch']",L2O,0.0,False
"['thm_CDM_exch', 'FeNO3_CDM_exch']",L2O,0.0,False
"['thm_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['thm_CDM_exch', 'MnSO4_CDM_exch']",L2O,0.0,False
"['thm_CDM_exch', 'CaCl2_CDM_exch']",L2O,0.0,False
"['thm_CDM_exch', 'NaBic_CDM_exch']",L2O,0.0,False
"['thm_CDM_exch', 'KPi_CDM_exch']",L2O,0.0,False
"['thm_CDM_exch', 'NaPi_CDM_exch']",L2O,0.0,False
"['vitB12_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['FeNO3_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['MgSO4_CDM_exch', 'MnSO4_CDM_exch']",L2O,0.0,False
"['MgSO4_CDM_exch', 'CaCl2_CDM_exch']",L2O,0.0,False
"['MgSO4_CDM_exch', 'NaBic_CDM_exch']",L2O,0.0,False
"['MgSO4_CDM_exch', 'KPi_CDM_exch']",L2O,0.0,False
"['MgSO4_CDM_exch', 'NaPi_CDM_exch']",L2O,0.0,False
"['KPi_CDM_exch', 'NaPi_CDM_exch']",L2O,0.0,False
