base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.043,0.851,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,55,C7,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.067,0.756,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,158,G14,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.971,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,216,I24,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,253,K13,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.041,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,321,N9,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.972,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,354,O18,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.073,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,10,A10,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.906,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,73,D1,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.914,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,29,B5,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,329,N17,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.041,Plate 8$2854685cb29001c4ddf99a8e952151e3c4ec996d,76,D4,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.009,Plate 8$2854685cb29001c4ddf99a8e952151e3c4ec996d,200,I8,3,True,False,S. mutans UA159,aerobic
