base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.042,0.879,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,136,F16,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.045,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,41,B17,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.945,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,120,E24,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.075,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,80,D8,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.045,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,280,L16,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.05,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,61,C13,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.872,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,346,O10,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.935,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,43,B19,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.069,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,338,O2,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.036,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,86,D14,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.046,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,358,O22,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.084,0.13,Plate 1$fe8856866a7678773483ad49870edc160e621acc,107,E11,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.995,Plate 1$fe8856866a7678773483ad49870edc160e621acc,251,K11,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.047,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,32,B8,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.053,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,360,O24,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.0,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,79,D7,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.104,0.05,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,324,N12,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.937,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,94,D22,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.049,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,280,L16,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.096,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,34,B10,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.158,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,57,C9,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.0,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,149,G5,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.124,0.043,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,280,L16,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.812,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,2,A2,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.048,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,104,E8,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.047,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,27,B3,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.026,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,89,D17,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.056,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,50,C2,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.065,0.078,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,254,K14,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.842,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,184,H16,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.05,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,351,O15,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.051,0.045,Plate 1$fe8856866a7678773483ad49870edc160e621acc,232,J16,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.0,Plate 1$fe8856866a7678773483ad49870edc160e621acc,329,N17,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.049,0.061,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,124,F4,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.051,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,195,I3,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.078,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,211,I19,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.881,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,371,P11,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.051,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,81,D9,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.058,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,201,I9,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.066,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,87,D15,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.09,0.045,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,369,P9,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.069,0.079,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,22,A22,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.065,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,32,B8,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.834,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,118,E22,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.049,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,334,N22,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.816,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,108,E12,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.05,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,367,P7,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.049,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,202,I10,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.02,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,283,L19,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.915,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,60,C12,5,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.048,0.064,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,360,O24,5,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.065,0.047,Plate 1$fe8856866a7678773483ad49870edc160e621acc,5,A5,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.906,Plate 1$fe8856866a7678773483ad49870edc160e621acc,298,M10,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.103,1.015,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,135,F15,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.07,0.064,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,362,P2,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.972,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,245,K5,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.051,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,259,K19,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.958,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,109,E13,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.049,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,309,M21,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.96,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,145,G1,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.063,0.084,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,352,O16,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.065,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,4,A4,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.058,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,12,A12,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.06,0.96,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,94,D22,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.069,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,327,N15,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.05,0.051,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,231,J15,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,1.116,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,339,O3,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.08,0.098,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,194,I2,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.851,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,204,I12,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.069,0.072,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,63,C15,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.899,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,122,F2,6,True,False,S. mutans UA159,aerobic
