base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,leave_out_18,leave_out_19,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.884,Plate 14$b76a119e71c80cbd0bdb9cbcfe91d7ac3ee16a95,11,A11,2,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.066,Plate 14$b76a119e71c80cbd0bdb9cbcfe91d7ac3ee16a95,258,K18,2,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.113,Plate 15$5c830e9a1ca54f378eb22eed9f904ac5cd7db011,40,B16,2,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.805,Plate 15$5c830e9a1ca54f378eb22eed9f904ac5cd7db011,349,O13,2,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.778,Plate 16$391b6d59ed91603e586f2d94ed2087040e728d96,203,I11,2,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.042,Plate 16$391b6d59ed91603e586f2d94ed2087040e728d96,206,I14,2,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.041,Plate 17$76b2873afe5c3f3a5d270a31c6181b6aace56897,56,C8,2,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.563,Plate 17$76b2873afe5c3f3a5d270a31c6181b6aace56897,158,G14,2,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.042,Plate 18$7c460ce9bc530fdfe53e0b0b88d1d8ee8bfa7411,99,E3,2,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,1.389,Plate 18$7c460ce9bc530fdfe53e0b0b88d1d8ee8bfa7411,338,O2,2,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.213,Plate 19$20a781370a4edf07a385c9a3dcca67625137cce1,130,F10,2,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,1.137,Plate 19$20a781370a4edf07a385c9a3dcca67625137cce1,320,N8,2,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.044,Plate 2$e3db01324b01e84fd271846105aaf98a57af36b0,179,H11,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.62,Plate 2$e3db01324b01e84fd271846105aaf98a57af36b0,255,K15,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.052,0.252,Plate 20$31dff95f3bbef010dd0625498831610de18ccfd8,35,B11,2,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.119,0.872,Plate 20$31dff95f3bbef010dd0625498831610de18ccfd8,109,E13,2,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.043,Plate 3$5973cc64507958195f09a634be48645e2805ef38,331,N19,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.708,Plate 3$5973cc64507958195f09a634be48645e2805ef38,335,N23,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.641,Plate 4$b18f0178228faab1cbc813d8d17527fc06143a89,125,F5,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.043,Plate 4$b18f0178228faab1cbc813d8d17527fc06143a89,134,F14,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.711,Plate 5$f9f67926c50ad7b56c6bf7718da519661f5ae991,258,K18,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.04,Plate 5$f9f67926c50ad7b56c6bf7718da519661f5ae991,340,O4,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.046,Plate 6$34d4a6463c2c4d8d2e44dfc61133609b0b2c4032,119,E23,2,False,True,S. mutans UA159,aerobic
