ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,strain,fitness
0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,aerobic,S. gordonii CH1,0.0011935548040580832
0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,aerobic,S. gordonii CH1,0.001896183929841196
0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,aerobic,S. gordonii CH1,0.002416918429003019
0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,aerobic,S. gordonii CH1,0.0012607359546135068
0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,aerobic,S. gordonii CH1,0.003819324722170648
0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,aerobic,S. gordonii CH1,0.0023236675219054097
0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,aerobic,S. gordonii CH1,0.001900688999762411
0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,aerobic,S. gordonii CH1,0.0017939007374925269
0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,aerobic,S. gordonii CH1,0.0012618296529968466
0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,aerobic,S. gordonii CH1,0.0012128869235628562
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,aerobic,S. gordonii CH1,0.0012731082407235464
0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,aerobic,S. gordonii CH1,0.0029045844023817577
0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,aerobic,S. gordonii CH1,0.0012671259998416104
0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,aerobic,S. gordonii CH1,0.0011935548040580832
0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,aerobic,S. gordonii CH1,0.0031603065497353222
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,aerobic,S. gordonii CH1,0.0012084592145015075
