Well of 96,Plate 1,Plate 2,Plate 3,Plate 4,Plate 5,Plate 6,Plate 7,Plate 8
B8,D7 D3 D2 D19,C11 D7 C5 C4,D19 C1 D18 C10,C12 C11 D13 D1,C12 C18 C21 C24,C24 D14 C4 C17,D23 C2 C24 D9,D18 C14 C12 D3
C8,F7 F3 F2 F19,E11 F7 E5 E4,F19 E1 F18 E10,E12 E11 F13 F1,E12 E18 E21 E24,E24 F14 E4 E17,F23 E2 E24 F9,F18 E14 E12 F3
D8,H7 H3 H2 H19,G11 H7 G5 G4,H19 G1 H18 G10,G12 G11 H13 H1,G12 G18 G21 G24,G24 H14 G4 G17,H23 G2 G24 H9,H18 G14 G12 H3
E8,J7 J3 J2 J19,I11 J7 I5 I4,J19 I1 J18 I10,I12 I11 J13 J1,I12 I18 I21 I24,I24 J14 I4 I17,J23 I2 I24 J9,J18 I14 I12 J3
F8,L7 L3 L2 L19,K11 L7 K5 K4,L19 K1 L18 K10,K12 K11 L13 L1,K12 K18 K21 K24,K24 L14 K4 K17,L23 K2 K24 L9,L18 K14 K12 L3
G8,N7 N3 N2 N19,M11 N7 M5 M4,N19 M1 N18 M10,M12 M11 N13 N1,M12 M18 M21 M24,M24 N14 M4 M17,N23 M2 M24 N9,N18 M14 M12 N3
H8,P7 P3 P2 P19,O11 P7 O5 O4,P19 O1 P18 O10,O12 O11 P13 P1,O12 O18 O21 O24,O24 P14 O4 O17,P23 O2 O24 P9,P18 O14 O12 P3
A9,A19 B20 A15 A1,A16 A1 A13 B16,B22 A12 A13 A14,B20 B11 B9 B17,A8 B22 A5 B21,B16 A13 B22 B12,A9 A19 A21 B17,A5 A23 B7 A9
B9,C19 D20 C15 C1,C16 C1 C13 D16,D22 C12 C13 C14,D20 D11 D9 D17,C8 D22 C5 D21,D16 C13 D22 D12,C9 C19 C21 D17,C5 C23 D7 C9
C9,E19 F20 E15 E1,E16 E1 E13 F16,F22 E12 E13 E14,F20 F11 F9 F17,E8 F22 E5 F21,F16 E13 F22 F12,E9 E19 E21 F17,E5 E23 F7 E9
