ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,grow
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.08729524484456971
0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.3492132729317539
0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0.47732628722416626
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0.4478476766310654
0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0.26741599738115407
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1.0
0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1.0
0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0.9561819428411773
0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1.0
0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0.6010520341157172
0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1.0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.836602474073016
0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1.0
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1.0
0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0.6792181289989128
0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1.0
0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1.0
0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1.0
0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0.6604026227615466
0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1.0
0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1.0
0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0.7409919316878486
0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0.760954084995897
0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1.0
