ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,grow
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.1332007952286282
0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,anaerobic,0.7814666180226194
1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,anaerobic,0.9187872225230103
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.17812669193286412
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,anaerobic,0.21011438892233597
1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,anaerobic,1.0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.059301625526791094
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,anaerobic,0.07611759967780911
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,anaerobic,0.026019080659150044
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,anaerobic,0.3560744253921926
1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,anaerobic,0.9897282968853546
1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,anaerobic,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,anaerobic,0.012887635924285143
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,anaerobic,1.0
1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,anaerobic,1.0
1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,anaerobic,1.0
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,anaerobic,0.9935383820108558
1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,anaerobic,1.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.012887635924285146
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.0836947094535993
1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,anaerobic,1.0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,anaerobic,0.025071077797880603
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.016074037993180704
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,anaerobic,0.17248645394340756
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,anaerobic,1.0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,anaerobic,0.2551697229808818
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,anaerobic,1.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.036860364267129235
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,anaerobic,0.18322295805739514
1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,anaerobic,0.37658309640734045
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,anaerobic,1.0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,anaerobic,1.0
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,anaerobic,1.0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.062010836845273934
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.28493250638453116
1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,anaerobic,1.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,anaerobic,0.28456767603064576
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,1.0
