ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,grow
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,aerobic,0.8086871112081194
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,aerobic,0.018996415770609322
1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,aerobic,0.005409304002884968
1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,aerobic,0.05752636625119847
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,aerobic,0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,aerobic,0.0
1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,aerobic,0.01151417605546614
0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,aerobic,0.26458929751156124
0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,aerobic,0.8284353964866197
1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,aerobic,1.0
1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,aerobic,0.2344442620259399
1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,aerobic,0.040270653716031876
1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,aerobic,0.018828451882845185
1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,aerobic,0.0
1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,aerobic,0.01009736747205193
1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,aerobic,0.9171346390905353
1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,aerobic,0.6942667322834647
1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,aerobic,1.0
1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,aerobic,0.0
0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,aerobic,0.012768743861180832
1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,aerobic,0.9854368932038835
1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,aerobic,0.016185862144902002
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,aerobic,0.6312343119065807
1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,aerobic,0.0046245320414005755
1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,aerobic,0.0
1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,aerobic,0.3717994951316264
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,aerobic,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,aerobic,0.0
0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,aerobic,0.017828401634270144
0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,aerobic,0.02260224826596508
0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,aerobic,0.005227781926811049
1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,aerobic,0.007387949433590547
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,aerobic,0.9008610380291797
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,aerobic,0.0
1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,aerobic,0.8515745430521909
1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,aerobic,1.0
1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,aerobic,0.0
1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,aerobic,0.8658956692913388
1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,aerobic,0.592422929305435
1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,aerobic,0.024396077493422628
1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,aerobic,0.008215085884988796
1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,aerobic,0.7412575931702512
1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,aerobic,0.8447015169704245
1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,aerobic,1.0
1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,aerobic,0.0
1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,aerobic,0.22473118279569898
1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,aerobic,0.0
1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,aerobic,1.0
1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,aerobic,1.0
1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,aerobic,0.9868763154636623
1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,aerobic,0.861038029179622
1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,aerobic,0.6852128454070201
1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,aerobic,0.0014775898867181137
1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,aerobic,0.8794063079777364
1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,aerobic,0.8657784628936357
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,aerobic,0.0
1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,aerobic,0.014785430941218898
1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,aerobic,1.0
1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,aerobic,0.9169786390662847
1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,aerobic,0.865655353050311
1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,aerobic,1.0
1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,aerobic,1.0
1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,aerobic,1.0
