Card,# Epochs,Loss,Grow,No Grow
12,5,binary CE,0.25,0.75
12,5,binary CE - te/tr split,0.066,0.934
12,5,custom,0.165,0.835
12,5,custom - te/tr split,0.107,0.893
12,10,binary CE,0.181,0.819
12,10,binary CE - te/tr split,0.244,0.756
12,10,custom,0.308,0.692
12,10,custom - te/tr split,0.162,0.838
12,20,binary CE,0.304,0.696
12,20,binary CE - te/tr split,0.401,0.599
12,20,custom,0.35,0.65
12,20,custom - te/tr split,0.387,0.613
12,100,binary CE,0.409,0.591
12,100,binary CE - te/tr split,0.332,0.668
12,100,custom,0.412,0.588
12,100,custom - te/tr split,0.41,0.59
12,1000,binary CE,0.438,0.562
12,1000,binary CE - te/tr split,0.536,0.464
12,1000,custom,0.405,0.595
12,1000,custom - te/tr split,0.448,0.552
13,5,binary CE,0.326,0.674
13,5,binary CE - te/tr split,0.103,0.897
13,5,custom,0.23,0.77
13,5,custom - te/tr split,0.136,0.864
13,10,binary CE,0.245,0.755
13,10,binary CE - te/tr split,0.303,0.697
13,10,custom,0.391,0.609
13,10,custom - te/tr split,0.228,0.772
13,20,binary CE,0.355,0.645
13,20,binary CE - te/tr split,0.459,0.541
13,20,custom,0.403,0.597
13,20,custom - te/tr split,0.444,0.556
13,100,binary CE,0.446,0.554
13,100,binary CE - te/tr split,0.381,0.619
13,100,custom,0.447,0.553
13,100,custom - te/tr split,0.452,0.548
13,1000,binary CE,0.46,0.54
13,1000,binary CE - te/tr split,0.558,0.442
13,1000,custom,0.438,0.562
13,1000,custom - te/tr split,0.48,0.52
14,5,binary CE,0.416,0.584
14,5,binary CE - te/tr split,0.155,0.845
14,5,custom,0.31,0.69
14,5,custom - te/tr split,0.172,0.828
14,10,binary CE,0.319,0.681
14,10,binary CE - te/tr split,0.368,0.632
14,10,custom,0.48,0.52
14,10,custom - te/tr split,0.312,0.688
14,20,binary CE,0.408,0.592
14,20,binary CE - te/tr split,0.52,0.48
14,20,custom,0.459,0.541
14,20,custom - te/tr split,0.502,0.498
14,100,binary CE,0.477,0.523
14,100,binary CE - te/tr split,0.43,0.57
14,100,custom,0.48,0.52
14,100,custom - te/tr split,0.494,0.506
14,1000,binary CE,0.484,0.516
14,1000,binary CE - te/tr split,0.58,0.42
14,1000,custom,0.473,0.527
14,1000,custom - te/tr split,0.513,0.487
15,5,binary CE,0.517,0.483
15,5,binary CE - te/tr split,0.227,0.773
15,5,custom,0.407,0.593
15,5,custom - te/tr split,0.216,0.784
15,10,binary CE,0.402,0.598
15,10,binary CE - te/tr split,0.442,0.558
15,10,custom,0.574,0.426
15,10,custom - te/tr split,0.414,0.586
15,20,binary CE,0.464,0.536
15,20,binary CE - te/tr split,0.58,0.42
15,20,custom,0.516,0.484
15,20,custom - te/tr split,0.562,0.438
15,100,binary CE,0.507,0.493
15,100,binary CE - te/tr split,0.481,0.519
15,100,custom,0.508,0.492
15,100,custom - te/tr split,0.536,0.464
15,1000,binary CE,0.52,0.48
15,1000,binary CE - te/tr split,0.604,0.396
15,1000,custom,0.508,0.492
15,1000,custom - te/tr split,0.548,0.452
16,5,binary CE,0.63,0.37
16,5,binary CE - te/tr split,0.33,0.67
16,5,custom,0.521,0.479
16,5,custom - te/tr split,0.27,0.73
16,10,binary CE,0.497,0.503
16,10,binary CE - te/tr split,0.515,0.485
16,10,custom,0.666,0.334
16,10,custom - te/tr split,0.537,0.463
16,20,binary CE,0.526,0.474
16,20,binary CE - te/tr split,0.649,0.351
16,20,custom,0.579,0.421
16,20,custom - te/tr split,0.623,0.377
16,100,binary CE,0.533,0.467
16,100,binary CE - te/tr split,0.533,0.467
16,100,custom,0.535,0.465
16,100,custom - te/tr split,0.581,0.419
16,1000,binary CE,0.553,0.447
16,1000,binary CE - te/tr split,0.637,0.363
16,1000,custom,0.553,0.447
