Card,# Epochs,Loss,Grow,No Grow
11,10,binary CE - te/tr split,0.0,1.0
11,10,custom,0.0,1.0
11,10,custom - te/tr split,0.0,1.0
11,20,binary CE,0.0,1.0
11,20,binary CE - te/tr split,0.0,1.0
11,20,custom,0.0,1.0
11,20,custom - te/tr split,0.0,1.0
11,100,binary CE,0.0,1.0
11,100,binary CE - te/tr split,0.0,1.0
11,100,custom,0.0,1.0
11,100,custom - te/tr split,0.0,1.0
11,1000,binary CE,0.091,0.909
11,1000,binary CE - te/tr split,0.0,1.0
11,1000,custom,0.045,0.955
11,1000,custom - te/tr split,0.0,1.0
12,5,binary CE,0.0,1.0
12,5,binary CE - te/tr split,0.0,1.0
12,5,custom,0.0,1.0
12,5,custom - te/tr split,0.0,1.0
12,10,binary CE,0.0,1.0
12,10,binary CE - te/tr split,0.0,1.0
12,10,custom,0.0,1.0
12,10,custom - te/tr split,0.0,1.0
12,20,binary CE,0.0,1.0
12,20,binary CE - te/tr split,0.0,1.0
12,20,custom,0.0,1.0
12,20,custom - te/tr split,0.0,1.0
12,100,binary CE,0.0,1.0
12,100,binary CE - te/tr split,0.0,1.0
12,100,custom,0.0,1.0
12,100,custom - te/tr split,0.0,1.0
12,1000,binary CE,0.084,0.916
12,1000,binary CE - te/tr split,0.0,1.0
12,1000,custom,0.038,0.962
12,1000,custom - te/tr split,0.0,1.0
13,5,binary CE,0.0,1.0
13,5,binary CE - te/tr split,0.0,1.0
13,5,custom,0.0,1.0
13,5,custom - te/tr split,0.0,1.0
13,10,binary CE,0.0,1.0
13,10,binary CE - te/tr split,0.0,1.0
13,10,custom,0.0,1.0
13,10,custom - te/tr split,0.0,1.0
13,20,binary CE,0.0,1.0
13,20,binary CE - te/tr split,0.0,1.0
13,20,custom,0.0,1.0
13,20,custom - te/tr split,0.0,1.0
13,100,binary CE,0.0,1.0
13,100,binary CE - te/tr split,0.0,1.0
13,100,custom,0.0,1.0
13,100,custom - te/tr split,0.0,1.0
13,1000,binary CE,0.076,0.924
13,1000,binary CE - te/tr split,0.0,1.0
13,1000,custom,0.03,0.97
13,1000,custom - te/tr split,0.0,1.0
14,5,binary CE,0.0,1.0
14,5,binary CE - te/tr split,0.0,1.0
14,5,custom,0.0,1.0
14,5,custom - te/tr split,0.0,1.0
14,10,binary CE,0.0,1.0
14,10,binary CE - te/tr split,0.0,1.0
14,10,custom,0.0,1.0
14,10,custom - te/tr split,0.0,1.0
14,20,binary CE,0.0,1.0
14,20,binary CE - te/tr split,0.0,1.0
14,20,custom,0.0,1.0
14,20,custom - te/tr split,0.0,1.0
14,100,binary CE,0.0,1.0
14,100,binary CE - te/tr split,0.0,1.0
14,100,custom,0.0,1.0
14,100,custom - te/tr split,0.0,1.0
14,1000,binary CE,0.067,0.933
14,1000,binary CE - te/tr split,0.0,1.0
14,1000,custom,0.022,0.978
14,1000,custom - te/tr split,0.0,1.0
15,5,binary CE,0.0,1.0
15,5,binary CE - te/tr split,0.0,1.0
15,5,custom,0.0,1.0
15,5,custom - te/tr split,0.0,1.0
15,10,binary CE,0.0,1.0
15,10,binary CE - te/tr split,0.0,1.0
15,10,custom,0.0,1.0
15,10,custom - te/tr split,0.0,1.0
15,20,binary CE,0.0,1.0
15,20,binary CE - te/tr split,0.0,1.0
15,20,custom,0.0,1.0
15,20,custom - te/tr split,0.0,1.0
15,100,binary CE,0.0,1.0
15,100,binary CE - te/tr split,0.0,1.0
15,100,custom,0.0,1.0
15,100,custom - te/tr split,0.0,1.0
15,1000,binary CE,0.054,0.946
15,1000,binary CE - te/tr split,0.0,1.0
15,1000,custom,0.013,0.987
15,1000,custom - te/tr split,0.0,1.0
16,5,binary CE,0.0,1.0
16,5,binary CE - te/tr split,0.0,1.0
16,5,custom,0.0,1.0
16,5,custom - te/tr split,0.0,1.0
16,10,binary CE,0.0,1.0
16,10,binary CE - te/tr split,0.0,1.0
16,10,custom,0.0,1.0
16,10,custom - te/tr split,0.0,1.0
16,20,binary CE,0.0,1.0
16,20,binary CE - te/tr split,0.0,1.0
16,20,custom,0.0,1.0
16,20,custom - te/tr split,0.0,1.0
16,100,binary CE,0.0,1.0
16,100,binary CE - te/tr split,0.0,1.0
16,100,custom,0.0,1.0
16,100,custom - te/tr split,0.0,1.0
16,1000,binary CE,0.041,0.959
16,1000,binary CE - te/tr split,0.0,1.0
16,1000,custom,0.006,0.994
16,1000,custom - te/tr split,0.0,1.0
17,5,binary CE,0.0,1.0
17,5,binary CE - te/tr split,0.0,1.0
17,5,custom,0.0,1.0
17,5,custom - te/tr split,0.0,1.0
17,10,binary CE,0.0,1.0
17,10,binary CE - te/tr split,0.0,1.0
17,10,custom,0.0,1.0
17,10,custom - te/tr split,0.0,1.0
17,20,binary CE,0.0,1.0
17,20,binary CE - te/tr split,0.0,1.0
17,20,custom,0.0,1.0
17,20,custom - te/tr split,0.0,1.0
17,100,binary CE,0.0,1.0
17,100,binary CE - te/tr split,0.0,1.0
17,100,custom,0.0,1.0
17,100,custom - te/tr split,0.0,1.0
17,1000,binary CE,0.025,0.975
17,1000,binary CE - te/tr split,0.0,1.0
17,1000,custom,0.001,0.999
17,1000,custom - te/tr split,0.0,1.0
18,5,binary CE,0.0,1.0
18,5,binary CE - te/tr split,0.0,1.0
18,5,custom,0.0,1.0
18,5,custom - te/tr split,0.0,1.0
18,10,binary CE,0.0,1.0
18,10,binary CE - te/tr split,0.0,1.0
18,10,custom,0.0,1.0
18,10,custom - te/tr split,0.0,1.0
18,20,binary CE,0.0,1.0
18,20,binary CE - te/tr split,0.0,1.0
18,20,custom,0.0,1.0
18,20,custom - te/tr split,0.0,1.0
18,100,binary CE,0.0,1.0
18,100,binary CE - te/tr split,0.0,1.0
18,100,custom,0.0,1.0
18,100,custom - te/tr split,0.0,1.0
18,1000,binary CE,0.016,0.984
18,1000,binary CE - te/tr split,0.0,1.0
18,1000,custom,0.0,1.0
18,1000,custom - te/tr split,0.0,1.0
19,5,binary CE,0.0,1.0
19,5,binary CE - te/tr split,0.0,1.0
19,5,custom,0.0,1.0
19,5,custom - te/tr split,0.0,1.0
19,10,binary CE,0.0,1.0
19,10,binary CE - te/tr split,0.0,1.0
19,10,custom,0.0,1.0
19,10,custom - te/tr split,0.0,1.0
19,20,binary CE,0.0,1.0
19,20,binary CE - te/tr split,0.0,1.0
