Card,# Epochs,Loss,Grow,No Grow
13,1000,binary CE,0.48,0.52
13,1000,binary CE - te/tr split,0.592,0.408
13,1000,custom,0.382,0.618
13,1000,custom - te/tr split,0.56,0.44
14,5,binary CE,1.0,0.0
14,5,binary CE - te/tr split,0.951,0.049
14,5,custom,1.0,0.0
14,5,custom - te/tr split,0.99,0.01
14,10,binary CE,0.924,0.076
14,10,binary CE - te/tr split,0.959,0.041
14,10,custom,1.0,0.0
14,10,custom - te/tr split,0.936,0.064
14,20,binary CE,0.815,0.185
14,20,binary CE - te/tr split,0.995,0.005
14,20,custom,0.876,0.124
14,20,custom - te/tr split,0.966,0.034
14,100,binary CE,0.581,0.419
14,100,binary CE - te/tr split,0.634,0.366
14,100,custom,0.631,0.369
14,100,custom - te/tr split,0.601,0.399
14,1000,binary CE,0.503,0.497
14,1000,binary CE - te/tr split,0.605,0.395
14,1000,custom,0.417,0.583
14,1000,custom - te/tr split,0.571,0.429
15,5,binary CE,1.0,0.0
15,5,binary CE - te/tr split,0.967,0.033
15,5,custom,1.0,0.0
15,5,custom - te/tr split,0.994,0.006
15,10,binary CE,0.938,0.062
15,10,binary CE - te/tr split,0.976,0.024
15,10,custom,1.0,0.0
15,10,custom - te/tr split,0.95,0.05
15,20,binary CE,0.841,0.159
15,20,binary CE - te/tr split,0.998,0.002
15,20,custom,0.892,0.108
15,20,custom - te/tr split,0.972,0.028
15,100,binary CE,0.595,0.405
15,100,binary CE - te/tr split,0.637,0.363
15,100,custom,0.642,0.358
15,100,custom - te/tr split,0.611,0.389
15,1000,binary CE,0.531,0.469
15,1000,binary CE - te/tr split,0.622,0.378
15,1000,custom,0.457,0.543
15,1000,custom - te/tr split,0.577,0.423
16,5,binary CE,1.0,0.0
16,5,binary CE - te/tr split,0.981,0.019
16,5,custom,1.0,0.0
16,5,custom - te/tr split,0.998,0.002
16,10,binary CE,0.958,0.042
16,10,binary CE - te/tr split,0.987,0.013
16,10,custom,1.0,0.0
16,10,custom - te/tr split,0.966,0.034
16,20,binary CE,0.873,0.127
16,20,binary CE - te/tr split,1.0,0.0
16,20,custom,0.91,0.09
16,20,custom - te/tr split,0.978,0.022
16,100,binary CE,0.59,0.41
16,100,binary CE - te/tr split,0.631,0.369
16,100,custom,0.638,0.362
16,100,custom - te/tr split,0.622,0.378
16,1000,binary CE,0.569,0.431
16,1000,binary CE - te/tr split,0.636,0.364
16,1000,custom,0.506,0.494
16,1000,custom - te/tr split,0.6,0.4
17,5,binary CE,1.0,0.0
17,5,binary CE - te/tr split,0.992,0.008
17,5,custom,1.0,0.0
17,5,custom - te/tr split,1.0,0.0
17,10,binary CE,0.97,0.03
17,10,binary CE - te/tr split,0.995,0.005
17,10,custom,1.0,0.0
17,10,custom - te/tr split,0.984,0.016
17,20,binary CE,0.903,0.097
17,20,binary CE - te/tr split,1.0,0.0
17,20,custom,0.932,0.068
17,20,custom - te/tr split,0.986,0.014
17,100,binary CE,0.599,0.401
17,100,binary CE - te/tr split,0.633,0.367
17,100,custom,0.63,0.37
17,100,custom - te/tr split,0.642,0.358
17,1000,binary CE,0.604,0.396
17,1000,binary CE - te/tr split,0.674,0.326
17,1000,custom,0.569,0.431
17,1000,custom - te/tr split,0.611,0.389
18,5,binary CE,1.0,0.0
18,5,binary CE - te/tr split,1.0,0.0
18,5,custom,1.0,0.0
18,5,custom - te/tr split,1.0,0.0
18,10,binary CE,0.989,0.011
18,10,binary CE - te/tr split,1.0,0.0
18,10,custom,1.0,0.0
18,10,custom - te/tr split,0.995,0.005
18,20,binary CE,0.932,0.068
18,20,binary CE - te/tr split,1.0,0.0
18,20,custom,0.963,0.037
18,20,custom - te/tr split,0.995,0.005
18,100,binary CE,0.668,0.332
18,100,binary CE - te/tr split,0.689,0.311
18,100,custom,0.689,0.311
18,100,custom - te/tr split,0.684,0.316
18,1000,binary CE,0.647,0.353
18,1000,binary CE - te/tr split,0.668,0.332
18,1000,custom,0.658,0.342
18,1000,custom - te/tr split,0.626,0.374
19,5,binary CE,1.0,0.0
19,5,binary CE - te/tr split,1.0,0.0
19,5,custom,1.0,0.0
19,5,custom - te/tr split,1.0,0.0
19,10,binary CE,1.0,0.0
